"Gene","HUVEC_low1","HUVEC_low2","HUVEC_low3","HUVEC_high1","HUVEC_high2","HUVEC_high3","HUVEC_high4","HUAEC_low1","HUAEC_low2","HUAEC_low3","HUAEC_low4","HUAEC_high1","HUAEC_high2","HUAEC_high3","HUAEC_high4"
"ENSG00000013375.18",89,73,34,64,33,34,7,52,90,135,91,52,27,44,21
"ENSG00000013392.9",1,4,0,5,4,0,4,1,3,7,2,0,2,8,3
"ENSG00000013441.18",44,35,4,55,23,100,0,6,13,1,29,48,10,40,23
"ENSG00000013503.11",6,0,1,0,6,12,0,6,10,6,7,0,0,4,0
"ENSG00000013523.13",28,1,0,1,0,22,5,17,16,5,1,16,5,16,1
"ENSG00000013561.19",43,17,12,49,15,22,11,45,37,45,53,13,14,47,28
"ENSG00000013563.15",29,13,17,10,21,35,13,40,39,106,43,42,3,59,19
"ENSG00000013573.18",24,0,0,22,1,22,1,9,46,96,8,20,1,16,7
"ENSG00000013583.11",29,11,10,23,18,37,9,20,41,37,40,22,3,17,17
"ENSG00000013588.11",11,11,16,61,26,44,4,41,40,50,61,46,8,81,18
"ENSG00000013619.15",1,0,0,1,10,38,0,1,12,0,0,1,1,1,0
"ENSG00000013810.22",138,132,63,233,151,96,84,59,91,148,75,91,1,94,68
"ENSG00000014123.11",11,3,9,15,23,8,11,15,14,23,12,22,2,15,17
"ENSG00000014138.11",60,51,9,64,43,31,29,17,41,23,24,23,1,26,41
"ENSG00000014164.8",1,0,0,0,1,2,0,0,2,5,2,1,0,0,2
"ENSG00000014216.17",103,79,73,157,79,91,100,83,220,139,160,144,28,131,60
"ENSG00000014641.22",109,72,57,166,132,202,91,99,156,190,145,106,28,150,142
"ENSG00000014824.15",6,11,5,8,10,3,0,7,9,14,11,18,0,16,15
"ENSG00000014914.22",1,10,1,1,1,0,0,0,10,0,15,13,0,0,4
"ENSG00000014919.14",11,7,4,15,11,13,13,19,8,25,20,13,7,35,11
"ENSG00000015133.20",18,2,0,0,7,9,18,1,1,12,1,0,1,0,2
"ENSG00000015153.16",6,2,1,5,16,27,23,14,64,1,13,20,4,10,6
"ENSG00000015171.22",59,20,39,74,40,55,84,10,51,15,43,39,1,58,49
"ENSG00000015475.20",83,38,42,73,83,69,35,88,89,146,59,61,0,60,46
"ENSG00000015479.21",142,105,71,237,148,132,161,154,157,172,154,115,18,96,60
"ENSG00000015532.11",18,20,21,12,8,11,15,11,21,42,37,15,0,1,27
"ENSG00000015568.13",7,0,4,11,8,10,7,7,13,18,16,13,0,7,6
"ENSG00000015676.19",31,27,8,45,20,34,18,10,41,36,13,28,8,15,10
"ENSG00000016082.16",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
"ENSG00000016864.20",26,4,15,20,36,13,2,28,42,48,20,12,0,48,18
